Username,Text,Hashtags,Followers,Friends
Fandeya1,President #Trump #Trump2020 pay attention to welfare vulture immigrant #oromo #terrorism who are falsifying injusti… https://t.co/TOqsKLVO7g,"['Trump', 'Trump2020', 'oromo', 'terrorism']",1,4
2Braptured777," Nevada's #Democrat @GovSisolak disregarded his 50-person rule for the #BLM's riotous, destructive protests too, Kel. F…","['Democrat', 'BLM']",11357,12364
5Fs19," 🦅Patriot Warriors!! 🦅
#SAVETHECHILDREN 
@AnnieGetHerGun 
@fuji_forever 
@Waffles36886571 
@truth_sniper 
@THEOUTSIDERZK…",['SAVETHECHILDREN'],192,477
Avni30765884," Post COVID management protocol 
Must read share with everyone and follow these protocols

#COVIDー19 #CoronavirusIndia 
#…","['COVIDー19', 'CoronavirusIndia']",4,25
Independent02,@realDonaldTrump why do you need to be re elected...aren't you the president couldn't you be doing that now...if… https://t.co/SBafW4KANF,,277,856
Lnr57," 🦅 Patriot Warriors!! 🦅
#SAVETHECHILDREN 
@AnnieGetHerGun 
@HHere4trump 
@sbacon0410 
@PatriotCatArmy1 
@SteelhorseQ 
@r…",['SAVETHECHILDREN'],42555,45317
ShikhaDuggal07, Thanks a lot @FeaturesPioneer for carrying my views about “Co Covid” as I strongly believe this could be a Upsurge Moment…,,213,240
milfofthepoppy, Here is the main question that we need answered in the case. How does a passenger of a minor traffic infraction get bea…,,27,263
greganon54, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",2030,1899
Jessica93216755," As long as the @NFL where is the names of #BLM, #Antifa, street thugs, career criminals, and sexual predators on their he…","['BLM', 'Antifa']",58,179
PantasticPuppy," Kamala Harris slept her way into positions of power
She told a rapist she was proud of him
And she is the VP candidate for…",,7445,8001
gmachickk, @realDonaldTrump You seem extra triggered tonight. Was it the small Nevada crowd? Did you not get enough love? Did one of y…,,219,1
GenQuart,@Gregoriancant And thanks for putting out #antifa fires within Portland's city limits.  #BLM #PDX,"['antifa', 'BLM', 'PDX']",9,494
blaze0497,"RT @zeusFanHouse: Petition Wants Joe #Biden Investigated For Covering Up LYNCHINGS Of Blacks 

https://t.co/Qzoo0WkL79 

#QAnon2018 #QAnon2…","['Biden', 'QAnon2018']",37711,27130
aymoemls," #BLM and #Antifa called for attacks on cops, Just like the Black Liberation Army, Black Panther Party, and the Weather Un…","['BLM', 'Antifa']",305,617
shebakissy, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",2169,2367
personfromnope," - Breonna Taylor 
- Elijah McClain 
- Ahmaud Arbery 
- Trayvon Martin 
- George Floyd 
- Philando Castile
- Tamir Rice…",,253,213
200pipss," Kamala Harris slept her way into positions of power
She told a rapist she was proud of him
And she is the VP candidate for…",,105,1013
karlene84411092, @peterdaou .@SenSanders @OurRevolution please advise #BernieBro staffers/surrogates/supporters to direct ire towards #…,['BernieBro'],0,0
AndyWHumphreys, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",15241,16743
BirdWatchingMy,"RT @CherSeattle: Central Park Birder Turns Clash Into Graphic Novel About Racism #audubon #birdwatching #blm 

https://t.co/peAx13tbZl","['audubon', 'birdwatching', 'blm']",2354,162
Ramsing33431344,"RT @sangrams91: Cheap publicity stunt.

#ArrestSajidKhan 
#MeToo https://t.co/xjszmffKC5","['ArrestSajidKhan', 'MeToo']",15,171
EricQNava17,The best President EVER! The sick people know it's true that's why they didn't clap or stand for our President they… https://t.co/JxSkW9sKvN,,321,594
Mish_Sedas,Remembering this honor received by our President Barack H. Obama back in the day –  https://t.co/Tbx28Nu7FS… Thanks… https://t.co/Px8ZHY4eHW,,353,525
NancyLowry13, We MISSED our POTUS!!!!😊😊😊,,228,304
